FileName,Test Id,Model Name,Is_Valid,had_outliers,source_type,is_synthetic,base_curve_id,aug_id,tmax_original,train_horizon,observed_tmax,is_censored,n_points_observed,max_gap_hours,median_dt_hours,missing_frac_on_grid,low_resolution,too_sparse,initial_OD,final_OD,max_OD,min_OD,range_OD,auc,auc_per_hour,net_change_per_hour,max_slope,time_of_max_slope,time_of_max_OD,monotonicity_fraction,largest_drop_frac,dip_fraction,roughness,noise_residual_std,lag_time,lag_time_est,plateau_OD,growth_phase_duration,symmetry_factor,final_to_peak_ratio,time_to_peak,num_slope_sign_changes,multi_phase_flag,logistic_fit_mse,logistic_AIC,gompertz_AIC,richards_AIC,flat_AIC,best_model_AIC,best_model_name
growth.xlsx,10.1N 16 c KCl 25 mM (A03),LAB,1,0,lab,0,10_1N_16_c_KCl_25_mM_A03_A,10_1N_16_c_KCl_25_mM_A03_A_H8,14.5,8.0,8.0,1,17,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,3.425274803070748,0.4281593503838435,0.125,0.15998839662811526,4.0,8.0,1.0,,0.0,0.022250861155847037,0.11408396938244648,2.0,2.0,0.9334256538120181,5.5,1.0,1.0,8.0,0,0,,,,,,,
growth.xlsx,10.1N 16 c KCl 25 mM (A03),LAB,1,0,lab,0,10_1N_16_c_KCl_25_mM_A03_A,10_1N_16_c_KCl_25_mM_A03_A_H10,14.5,10.0,10.0,1,21,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,4.8052970646115885,0.48052970646115883,0.1,0.13668778195100495,4.0,10.0,1.0,,0.0,0.018994604975193913,0.0979266115418583,2.5,2.5,0.9633511637993346,6.0,1.0,1.0,10.0,0,0,,,,,,,
growth.xlsx,10.1N 16 c KCl 25 mM (A03),LAB,1,0,lab,0,10_1N_16_c_KCl_25_mM_A03_A,10_1N_16_c_KCl_25_mM_A03_A_H12,14.5,12.0,12.0,1,25,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,6.6267428786676765,0.5522285732223063,0.08333333333333333,0.13220480215509123,4.0,12.0,1.0,,0.0,0.022588719721318946,0.08711479755170491,2.5,2.5,0.9953656406773467,6.5,1.0,1.0,12.0,0,0,,,,,,,
growth.xlsx,10.1N 16 c KOH 25 mM (E03),LAB,1,0,lab,0,10_1N_16_c_KOH_25_mM_E03_A,10_1N_16_c_KOH_25_mM_E03_A_H10,14.5,10.0,10.0,1,21,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,3.7028398674375964,0.3702839867437596,0.1,0.14820899732054693,6.5,10.0,1.0,,0.0,0.02545355153830959,0.10326010862142292,3.5,3.5,0.8999876604146101,6.0,1.0,1.0,10.0,0,0,,,,,,,
growth.xlsx,10.1N 16 c KOH 25 mM (E03),LAB,1,0,lab,0,10_1N_16_c_KOH_25_mM_E03_A,10_1N_16_c_KOH_25_mM_E03_A_H12,14.5,12.0,12.0,1,25,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,4.968496813702261,0.4140414011418551,0.08333333333333333,0.12448474367478424,6.5,12.0,1.0,,0.0,0.019824428562799232,0.09092894454330276,3.5,3.5,0.9536609850279536,7.5,1.0,1.0,12.0,0,0,,,,,,,
growth.xlsx,10.1N 16 c KOH 25 mM (E03),LAB,1,0,lab,0,10_1N_16_c_KOH_25_mM_E03_A,10_1N_16_c_KOH_25_mM_E03_A_H14.5,14.5,14.5,14.5,1,30,0.5,0.5,0.0,0,0,0.0,0.9988810839245181,1.0,0.0,1.0,7.3654873969362,0.5079646480645655,0.06888835061548401,0.12217401034052822,6.5,14.0,0.9655172413793104,0.0011189160754818683,0.0011189160754818683,0.022702237004755738,0.07929772241494563,3.5,3.5,0.9988810839245181,7.5,0.9655172413793104,0.9988810839245181,14.0,1,0,,,,,,,
growth.xlsx,10.1N 16 d KCl 25 mM (A04),LAB,1,0,lab,0,10_1N_16_d_KCl_25_mM_A04_A,10_1N_16_d_KCl_25_mM_A04_A_H8,14.5,8.0,8.0,1,17,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,3.5814784705090816,0.4476848088136352,0.125,0.19942812289751066,4.0,8.0,1.0,,0.0,0.020114686577963226,0.11446979524295095,1.5,1.5,0.9325556458847275,6.0,1.0,1.0,8.0,0,0,,,,,,,
growth.xlsx,10.1N 16 d KCl 25 mM (A04),LAB,1,0,lab,0,10_1N_16_d_KCl_25_mM_A04_A,10_1N_16_d_KCl_25_mM_A04_A_H12,14.5,12.0,12.0,1,25,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,6.784738160119453,0.5653948466766211,0.08333333333333333,0.16533708289514193,4.0,12.0,1.0,,0.0,0.022275004230552804,0.08714779984537945,1.5,1.5,0.9960954976206928,7.5,1.0,1.0,12.0,0,0,,,,,,,
growth.xlsx,10.1N 16 d KCl 25 mM (A04),LAB,1,0,lab,0,10_1N_16_d_KCl_25_mM_A04_A,10_1N_16_d_KCl_25_mM_A04_A_H14.5,14.5,14.5,14.5,1,30,0.5,0.5,0.0,0,0,0.0,0.9993250993523272,1.0,0.0,1.0,9.262954182066759,0.6388244263494316,0.06891897236912602,0.16484955219038577,4.0,13.5,0.9310344827586207,0.000561934444843537,0.0006749006476728381,0.025478281791236623,0.07950392447013607,1.5,1.5,0.9997248259161847,7.5,0.9310344827586207,0.9993250993523272,13.5,1,0,,,,,,,
growth.xlsx,10.1N 16 d KOH 25 mM (E04),LAB,1,0,lab,0,10_1N_16_d_KOH_25_mM_E04_A,10_1N_16_d_KOH_25_mM_E04_A_H10,14.5,10.0,10.0,1,21,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,3.7381710614216406,0.37381710614216407,0.1,0.14789321077685535,6.5,10.0,1.0,,0.0,0.025071245840126915,0.10317119435491844,3.5,3.5,0.9002304929190754,6.0,1.0,1.0,10.0,0,0,,,,,,,
