FileName,Test Id,Model Name,base_curve_id,aug_id,Is_Valid,tmax_original,train_horizon,is_censored,too_sparse,low_resolution,is_synthetic,T0.0 (h),T0.5 (h),T1.0 (h),T1.5 (h),T2.0 (h),T2.5 (h),T3.0 (h),T3.5 (h),T4.0 (h),T4.5 (h),T5.0 (h),T5.5 (h),T6.0 (h),T6.5 (h),T7.0 (h),T7.5 (h),T8.0 (h),T8.5 (h),T9.0 (h),T9.5 (h),T10.0 (h),T10.5 (h),T11.0 (h),T11.5 (h),T12.0 (h),T12.5 (h),T13.0 (h),T13.5 (h),T14.0 (h),T14.5 (h),T15.0 (h),T15.5 (h),T16.0 (h)
SD1,SD1_1,Flat,SD1_1_A,SD1_1_A_H8,False,16.0,8.0,1,False,False,1,0.5191835259707916,0.6508980717838649,0.6363159293698496,0.5494204101021883,0.3640557687589691,0.3392644617019834,0.39853682516718847,0.701309974962268,0.5181568697177773,0.42800721619779775,0.0,0.4009948437411273,1.0,0.9357216351767297,0.3561500314005464,0.32415266012851157,0.5137413045983293,,,,,,,,,,,,,,,,
SD1,SD1_1,Flat,SD1_1_A,SD1_1_A_H10,False,16.0,10.0,1,False,False,1,0.5191835259707916,0.6508980717838649,0.6363159293698496,0.5494204101021883,0.3640557687589691,0.3392644617019834,0.39853682516718847,0.701309974962268,0.5181568697177773,0.42800721619779775,0.0,0.4009948437411273,1.0,0.9357216351767297,0.3561500314005464,0.11940662417652405,0.26815101593004664,0.20880483468673347,0.5314494025637466,0.4620123489532166,0.31178631391792294,,,,,,,,,,,,
SD1,SD1_1,Flat,SD1_1_A,SD1_1_A_H16,False,16.0,16.0,0,False,False,1,0.5641805557974913,0.6835686451210536,0.6703511670490109,0.5915877324404456,0.4235703717039836,0.4010991498423697,0.4548245313491721,0.729262769201893,0.5632499787857964,0.48153694686139625,0.09358462585449213,0.4570525171745255,1.0,0.941737101899254,0.41640448981835276,0.2018166257829082,0.3366408292862234,0.2828485382104586,0.5752985349187171,0.7714769384602465,0.462661182989173,0.0,0.15746302498102485,0.2609221244956028,0.5754185719459571,0.8725223429085712,0.5105103540819617,0.5479939801161032,0.5882039397668772,0.4801564182158245,0.4550196663710435,0.38683814063263994,0.43540369069040796
SD1,SD1_10,Logistic,SD1_10_A,SD1_10_A_H10,False,16.0,10.0,1,False,False,1,0.08581828370449386,0.1250807297386248,0.15957461558995106,0.2036320065116475,0.19473152547808578,0.24321867097177813,0.5549820024926533,0.843135182300849,0.9464345357361352,0.9207231706146098,0.9167640715301705,0.953683239161977,0.973608927264706,0.9787877054329516,0.892855367551667,1.0,0.7747492021840253,0.38803345515912135,0.03826184516518652,0.0,0.24094125730156307,,,,,,,,,,,,
SD1,SD1_10,Logistic,SD1_10_A,SD1_10_A_H12,False,16.0,12.0,1,False,False,1,0.049448426580804165,0.09027289198934832,0.12613908454697945,0.17194925720178453,0.16269467892721198,0.21311083976053197,0.5372773813015849,0.8368944635184057,0.9443034842752338,0.9175692167490157,0.913452608642603,0.9518405705282865,0.9725589833338505,0.9779437943057465,0.8885927194323116,1.0,0.765787811699471,0.36368694351531783,0.0,0.08691282847685164,0.10012241817051602,0.12766931447643914,0.10330795342024597,0.12856715407340882,0.18280421599834185,,,,,,,,
SD1,SD1_10,Logistic,SD1_10_A,SD1_10_A_H16,False,16.0,16.0,0,False,False,1,0.049448426580804165,0.09027289198934832,0.12613908454697945,0.17194925720178453,0.16269467892721198,0.21311083976053197,0.5372773813015849,0.8368944635184057,0.9443034842752338,0.9175692167490157,0.913452608642603,0.9518405705282865,0.9725589833338505,0.9779437943057465,0.8885927194323116,1.0,0.765787811699471,0.36368694351531783,0.0,0.08691282847685164,0.10012241817051602,0.12766931447643914,0.10330795342024597,0.15007798489377427,0.121123633474311,0.15730306417498333,0.15690307297108938,0.15237210131170564,0.06979986726767824,0.10297338707389131,0.14768323552985158,0.12903082363195487,0.06472474221403882
SD1,SD1_100,Richards,SD1_100_A,SD1_100_A_H10,False,16.0,10.0,1,False,False,1,0.0,0.024798390740692428,0.03469670754235085,0.028493005579558747,0.024915663482490313,0.0157178355646472,0.019473079380834358,0.0346959786406799,0.056767021273049466,0.05710292590304532,0.07058714138646445,0.1259015429830969,0.24071967167555056,0.41666053907302725,0.532049915017775,0.5817221913207726,0.6965067216435914,0.8764064742584441,0.9739509603786739,1.0,0.9508662591852324,,,,,,,,,,,,
SD1,SD1_100,Richards,SD1_100_A,SD1_100_A_H14.5,False,16.0,14.5,1,False,False,1,0.0,0.0252892032573317,0.03538342864962068,0.029056942325348147,0.02540879707432099,0.016028924719999033,0.019858492740820667,0.03538268532144651,0.057890560492367474,0.058233113384281734,0.07198420996516915,0.1283934003703951,0.24548402227777666,0.42490713095494054,0.5425803063039756,0.5932357018421852,0.710292060397251,0.8937524089897608,0.9932275064636698,0.9917602848819735,0.9908503899299652,0.9861968204144639,0.9953975285258196,0.98007491991309,0.9932888229145092,0.9790736614951875,0.9662686122626399,0.9569833981575804,0.967121778085989,1.0,,,
SD1,SD1_100,Richards,SD1_100_A,SD1_100_A_H16,False,16.0,16.0,0,False,False,1,0.0,0.024688871318716252,0.03454347327024629,0.028367169289048304,0.024805626138079993,0.01564841943665096,0.019387078622955113,0.034542747587691054,0.056516315837275684,0.056850736980649325,0.07027540087860518,0.1253455123778209,0.23965655917055478,0.41482040267560044,0.5297001738686606,0.579153077912957,0.6934306747196369,0.8725359194518589,0.9696496108544573,0.9682172191552036,0.9673289238951632,0.9627858239100894,0.9717681194885979,0.9568092491573603,0.9697094717345764,0.9558317592781879,0.9433306848269578,0.9342658893142687,0.9615871222594184,0.9640771480954123,0.9600446922649102,0.9731602652374124,1.0
SD1,SD1_101,ModifiedGompertz,SD1_101_A,SD1_101_A_H12,True,16.0,12.0,1,False,False,1,0.0,0.1007271969776383,0.26681765535115753,0.5573081133220816,0.7607426922480603,0.8237324500455222,0.8270084368192543,0.8439713519811282,0.8755823369887284,0.8686655956487652,0.8503240127940246,0.8851403398209619,0.8725477395209741,0.8519449520477139,0.8345016229244034,0.845286787552286,0.8633409038491137,0.8744395796202274,0.8924834265999011,0.8615735419464714,0.8609471144930305,0.8323775562189569,0.8678252367882482,0.920872457749835,1.0,,,,,,,,
SD1,SD1_101,ModifiedGompertz,SD1_101_A,SD1_101_A_H14.5,True,16.0,14.5,1,False,False,1,0.0,0.1024733114707383,0.2714429620111557,0.5669690966810245,0.7739302312674292,0.8380119218527302,0.8413446981347228,0.8586016668680064,0.8907606309787599,0.88372398734169,0.8650644515942846,0.9004843225998331,0.8876734285068144,0.8667134899672608,0.8489677792558189,0.8599399056262326,0.8783069915585897,0.8895980638144628,0.9079547024101833,0.8765089922876363,0.8758717056612197,0.8468068916740848,0.8828690607891317,0.9487762823225934,1.0,0.9757011648205388,0.9336874645929939,0.9273371073956531,0.934349663800374,0.959266054757835,,,
SD1,SD1_101,ModifiedGompertz,SD1_101_A,SD1_101_A_H16,True,16.0,16.0,0,False,False,1,0.0,0.1024733114707383,0.2714429620111557,0.5669690966810245,0.7739302312674292,0.8380119218527302,0.8413446981347228,0.8586016668680064,0.8907606309787599,0.88372398734169,0.8650644515942846,0.9004843225998331,0.8876734285068144,0.8667134899672608,0.8489677792558189,0.8599399056262326,0.8783069915585897,0.8895980638144628,0.9079547024101833,0.8765089922876363,0.8758717056612197,0.8468068916740848,0.8828690607891317,0.9487762823225934,1.0,0.9757011648205388,0.9336874645929939,0.9273371073956531,0.9473027517565458,0.9298383097518125,0.9402344745285443,0.946035101854769,0.9578501550307732
SD1,SD1_102,Richards,SD1_102_A,SD1_102_A_H10,True,16.0,10.0,1,False,False,1,0.00878621839264984,0.011966338120495024,0.011608117840914247,0.0019915198812203547,0.0,0.01657902473137562,0.02916038326632374,0.022034210412676267,0.016449234038335918,0.016789571371283035,0.023807495372697805,0.010219235332946107,0.01593021239940151,0.02054662807428979,0.06704445358632143,0.08332732256359027,0.11930239686513981,0.15568232173863217,0.29951347265595407,0.5863833555765756,1.0,,,,,,,,,,,,
SD1,SD1_102,Richards,SD1_102_A,SD1_102_A_H12,True,16.0,12.0,1,False,False,1,0.0020481816003907376,0.0027895088042604915,0.0027060030054360563,0.00046424914510891096,0.0,0.0038647859511019367,0.006797664000292796,0.005136460571494028,0.0038345300551628756,0.0039138671069087645,0.0055498363225912365,0.002382236457554134,0.0037135393713939174,0.004789685811479155,0.015628932733863014,0.019424680932964754,0.027810937905448363,0.03629157080342167,0.06982047979552286,0.13030184248361235,0.23942143083938336,0.3815792633085024,0.5608575246799493,0.7661754295748058,1.0,,,,,,,,
